census_t_1,quarter,year.x,total,econ_crime,violent_crime,drug_crime,no_units,pop,crime_rate,stock_units,log_crime_rate,log_total,log_econ_crime,log_violent_crime,log_drug_crime,diff_log_crime_rate,q_year,time_index,treat_post,treat,treat_change,treat_index,treat_index_max,id
17031020600,1,2005,77,65,5,7,0,8824.4,7.31939163498099,0,1.99052721454412,4.34380542185368,4.17438726989564,1.6094379124341,1.94591014905531,-0.19948936041632,1/2005,25,0,0,0,0,0,17031020600
17031020600,2,2005,73,63,3,7,0,8824.4,6.93916349809886,0,1.93718123383883,4.29045944114839,4.14313472639153,1.09861228866811,1.94591014905531,-0.0533459807052927,2/2005,26,0,0,0,0,0,17031020600
17031020700,1,1999,60,53,2,5,0,8824,6.79963735267452,0,1.9168692802709,4.0943445622221,3.97029191355212,0.693147180559945,1.6094379124341,,1/1999,1,0,0,0,0,0,17031020700
17031020700,2,1999,88,76,5,7,0,8824,9.9728014505893,0,2.29986153252701,4.47733681447821,4.33073334028633,1.6094379124341,1.94591014905531,0.382992252256106,2/1999,2,0,0,0,0,0,17031020700
17031020700,3,1999,87,70,6,11,0,8824,9.85947416137806,0,2.28843283670338,4.46590811865458,4.24849524204936,1.79175946922806,2.39789527279837,-0.0114286958236227,3/1999,3,0,0,0,0,0,17031020700
17031020700,4,1999,98,94,2,2,0,8824,11.1060743427017,0,2.40749219671937,4.58496747867057,4.54329478227,0.693147180559945,0.693147180559945,0.119059360015988,4/1999,4,0,0,0,0,0,17031020700
17031020700,1,2000,79,64,10,5,0,8824,8.95285584768812,0,2.19197257051582,4.36944785246702,4.15888308335967,2.30258509299405,1.6094379124341,-0.21551962620355,1/2000,5,0,0,0,0,0,17031020700
17031020700,2,2000,81,69,5,7,0,8824,9.17951042611061,0,2.21697387272124,4.39444915467244,4.23410650459726,1.6094379124341,1.94591014905531,0.0250013022054172,2/2000,6,0,0,0,0,0,17031020700
17031020700,3,2000,78,70,3,5,0,8824,8.83952855847688,0,2.17923354473839,4.35670882668959,4.24849524204936,1.09861228866811,1.6094379124341,-0.037740327982847,3/2000,7,0,0,0,0,0,17031020700
17031020700,4,2000,69,59,5,5,0,8824,7.8195829555757,0,2.05663122264606,4.23410650459726,4.07753744390572,1.6094379124341,1.6094379124341,-0.122602322092332,4/2000,8,0,0,0,0,0,17031020700
17031020700,1,2001,42,37,5,0,0,8824,4.75974614687217,0,1.56019433633217,3.73766961828337,3.61091791264422,1.6094379124341,-Inf,-0.496436886313891,1/2001,9,0,0,0,0,0,17031020700
17031020700,2,2001,58,51,6,1,0,8824,6.57298277425204,0,1.88296772859522,4.06044301054642,3.93182563272433,1.79175946922806,0,0.322773392263051,2/2001,10,0,0,0,0,0,17031020700
17031020700,3,2001,94,81,9,4,0,8824,10.6527651858568,0,2.3658195003188,4.54329478227,4.39444915467244,2.19722457733622,1.38629436111989,0.482851771723585,3/2001,11,0,0,0,0,0,17031020700
17031020700,4,2001,73,63,2,8,0,8824,8.27289211242067,0,2.11298415919719,4.29045944114839,4.14313472639153,0.693147180559945,2.07944154167984,-0.252835341121613,4/2001,12,0,0,0,0,0,17031020700
17031020700,1,2002,80,68,6,6,0,8824,9.06618313689937,0,2.20455135272268,4.38202663467388,4.21950770517611,1.79175946922806,1.79175946922806,0.0915671935254907,1/2002,13,0,0,0,0,0,17031020700
17031020700,2,2002,78,67,6,5,0,8824,8.83952855847688,0,2.17923354473839,4.35670882668959,4.20469261939097,1.79175946922806,1.6094379124341,-0.02531780798429,2/2002,14,0,0,0,0,0,17031020700
17031020700,3,2002,98,89,3,6,0,8824,11.1060743427017,0,2.40749219671937,4.58496747867057,4.48863636973214,1.09861228866811,1.79175946922806,0.22825865198098,3/2002,15,0,0,0,0,0,17031020700
17031020700,4,2002,79,69,5,5,0,8824,8.95285584768812,0,2.19197257051582,4.36944785246702,4.23410650459726,1.6094379124341,1.6094379124341,-0.21551962620355,4/2002,16,0,0,0,0,0,17031020700
17031020700,1,2003,43,32,4,7,0,8824,4.87307343608341,0,1.58372483374236,3.76120011569356,3.46573590279973,1.38629436111989,1.94591014905531,-0.608247736773459,1/2003,17,0,0,0,0,0,17031020700
17031020700,2,2003,78,67,6,5,0,8824,8.83952855847688,0,2.17923354473839,4.35670882668959,4.20469261939097,1.79175946922806,1.6094379124341,0.595508710996029,2/2003,18,0,0,0,0,0,17031020700
17031020700,3,2003,77,56,7,14,0,8824,8.72620126926564,0,2.16633013990248,4.34380542185368,4.02535169073515,1.94591014905531,2.63905732961526,-0.012903404835908,3/2003,19,0,0,0,0,0,17031020700
17031020700,4,2003,71,60,4,7,0,8824,8.04623753399819,0,2.08520459509011,4.26267987704132,4.0943445622221,1.38629436111989,1.94591014905531,-0.0811255448123682,4/2003,20,0,0,0,0,0,17031020700
17031020700,1,2004,64,55,3,6,0,8824,7.25294650951949,0,1.98140780140847,4.15888308335967,4.00733318523247,1.09861228866811,1.79175946922806,-0.103796793681644,1/2004,21,0,0,0,0,0,17031020700
17031020700,2,2004,77,69,2,6,0,8824,8.72620126926564,0,2.16633013990248,4.34380542185368,4.23410650459726,0.693147180559945,1.79175946922806,0.184922338494012,2/2004,22,0,0,0,0,0,17031020700
17031020700,3,2004,74,62,8,4,0,8824,8.38621940163191,0,2.12658981125297,4.30406509320417,4.12713438504509,2.07944154167984,1.38629436111989,-0.0397403286495139,3/2004,23,0,0,0,0,0,17031020700
17031020700,4,2004,104,93,4,7,0,8824,11.7860380779692,0,2.46691561719017,4.64439089914137,4.53259949315326,1.38629436111989,1.94591014905531,0.340325805937203,4/2004,24,0,0,0,0,0,17031020700
17031020700,1,2005,62,54,2,6,0,8824,7.02629193109701,0,1.94965910309389,4.12713438504509,3.98898404656427,0.693147180559945,1.79175946922806,-0.517256514096281,1/2005,25,0,0,0,0,0,17031020700
17031020700,2,2005,85,70,8,7,0,8824,9.63281958295557,0,2.26517597453912,4.44265125649032,4.24849524204936,2.07944154167984,1.94591014905531,0.315516871445225,2/2005,26,0,0,0,0,0,17031020700
17031020800,1,1999,133,115,9,7,0,8824.4,10.1040796171086,0,2.31293926477848,4.89034912822175,4.74493212836325,2.19722457733622,1.94591014905531,,1/1999,1,0,0,0,0,0,17031020800
17031020800,2,1999,160,115,8,14,0,8824.4,12.155283749905,0,2.49776395179056,5.07517381523383,4.74493212836325,2.07944154167984,2.63905732961526,0.184824687012073,2/1999,2,0,0,0,0,0,17031020800
17031020800,3,1999,181,115,15,4,0,8824.4,14.586340499886,0,2.68008550858451,5.19849703126583,4.74493212836325,2.70805020110221,1.38629436111989,0.182321556793955,3/1999,3,0,0,0,0,0,17031020800
17031020800,4,1999,123,103,13,7,0,8824.4,9.3443743827395,0,2.23477449192915,4.81218435537242,4.63472898822964,2.56494935746154,1.94591014905531,-0.445311016655364,4/1999,4,0,0,0,0,0,17031020800
17031020800,1,2000,159,115,5,15,0,8824.4,12.0793132264681,0,2.49149433877696,5.06890420222023,4.74493212836325,1.6094379124341,2.70805020110221,0.256719846847814,1/2000,5,0,0,0,0,0,17031020800
17031020800,2,2000,181,115,14,12,0,8824.4,15.2700752108182,0,2.72589504461581,5.19849703126583,4.74493212836325,2.63905732961526,2.484906649788,0.234400705838844,2/2000,6,0,0,0,0,0,17031020800
17031020800,3,2000,181,115,15,11,0,8824.4,15.1181341639444,0,2.71589496128122,5.19849703126583,4.74493212836325,2.70805020110221,2.39789527279837,-0.0100000833345835,3/2000,7,0,0,0,0,0,17031020800
17031020800,4,2000,137,115,6,8,0,8824.4,10.4079617108562,0,2.34257106238485,4.91998092582813,4.74493212836325,1.79175946922806,2.07944154167984,-0.373323898896368,4/2000,8,0,0,0,0,0,17031020800
17031020800,1,2001,142,115,6,15,0,8824.4,10.7878143280407,0,2.37841719415799,4.95582705760126,4.74493212836325,1.79175946922806,2.70805020110221,0.0358461317731358,1/2001,9,0,0,0,0,0,17031020800
17031020800,2,2001,154,115,16,21,0,8824.4,11.6994606092836,0,2.45954273897036,5.03695260241363,4.74493212836325,2.77258872223978,3.04452243772342,0.0811255448123687,2/2001,10,0,0,0,0,0,17031020800
17031020800,3,2001,121,103,11,7,0,8824.4,9.19243333586568,0,2.21838068215347,4.79579054559674,4.63472898822964,2.39789527279837,1.94591014905531,-0.241162056816888,3/2001,11,0,0,0,0,0,17031020800
17031020800,4,2001,123,108,6,9,0,8824.4,9.3443743827395,0,2.23477449192915,4.81218435537242,4.68213122712422,1.79175946922806,2.19722457733622,0.0163938097756766,4/2001,12,0,0,0,0,0,17031020800
17031020800,1,2002,117,101,7,9,0,8824.4,8.88855124211806,0,2.18476407135449,4.76217393479776,4.61512051684126,1.94591014905531,2.19722457733622,-0.0500104205746617,1/2002,13,0,0,0,0,0,17031020800
17031020800,2,2002,144,115,10,10,0,8824.4,10.9397553749145,0,2.39240343613273,4.969813299576,4.74493212836325,2.30258509299405,2.30258509299405,0.207639364778244,2/2002,14,0,0,0,0,0,17031020800
17031020800,3,2002,170,115,10,9,0,8824.4,12.9149889842741,0,2.55838857360699,5.13579843705026,4.74493212836325,2.30258509299405,2.19722457733622,0.165985137474261,3/2002,15,0,0,0,0,0,17031020800
17031020800,4,2002,131,115,4,9,0,8824.4,9.95213857023475,0,2.29778745975788,4.87519732320115,4.74493212836325,1.38629436111989,2.19722457733622,-0.26060111384911,4/2002,16,0,0,0,0,0,17031020800
17031020800,1,2003,143,115,9,15,0,8824.4,10.8637848514776,0,2.38543476681664,4.96284463025991,4.74493212836325,2.19722457733622,2.70805020110221,0.0876473070587553,1/2003,17,0,0,0,0,0,17031020800
17031020800,2,2003,110,86,13,11,0,8824.4,8.35675757805971,0,2.12307050234915,4.70048036579242,4.45434729625351,2.56494935746154,2.39789527279837,-0.262364264467491,2/2003,18,0,0,0,0,0,17031020800
17031020800,3,2003,146,115,5,7,0,8824.4,11.0916964217883,0,2.40619675826507,4.98360662170834,4.74493212836325,1.6094379124341,1.94591014905531,0.28312625591592,3/2003,19,0,0,0,0,0,17031020800
17031020800,4,2003,133,112,11,10,0,8824.4,10.1040796171086,0,2.31293926477848,4.89034912822175,4.71849887129509,2.39789527279837,2.30258509299405,-0.0932574934865826,4/2003,20,0,0,0,0,0,17031020800
17031020800,1,2004,125,113,9,3,0,8824.4,9.49631542961331,0,2.25090387385903,4.8283137373023,4.72738781871234,2.19722457733622,1.09861228866811,-0.0620353909194527,1/2004,21,0,0,0,0,0,17031020800
17031020800,2,2004,164,115,10,11,0,8824.4,12.4591658436527,0,2.52245656438093,5.0998664278242,4.74493212836325,2.30258509299405,2.39789527279837,0.271552690521897,2/2004,22,0,0,0,0,0,17031020800
17031020800,3,2004,176,115,5,12,0,8824.4,13.3708121248955,0,2.59307413159488,5.17048399503815,4.74493212836325,1.6094379124341,2.484906649788,0.0706175672139535,3/2004,23,0,0,0,0,0,17031020800
17031020800,4,2004,175,115,5,13,0,8824.4,13.2948416014586,0,2.58737611048024,5.16478597392351,4.74493212836325,1.6094379124341,2.56494935746154,-0.0056980211146378,4/2004,24,0,0,0,0,0,17031020800
17031020800,1,2005,109,94,5,10,0,8824.4,8.28078705462281,0,2.11393801878587,4.69134788222914,4.54329478227,1.6094379124341,2.30258509299405,-0.473438091694371,1/2005,25,0,0,0,0,0,17031020800
17031020800,2,2005,175,115,12,9,0,8824.4,13.2948416014586,0,2.58737611048024,5.16478597392351,4.74493212836325,2.484906649788,2.19722457733622,0.473438091694371,2/2005,26,0,0,0,0,0,17031020800
17031020900,1,1999,61,52,6,3,0,8824.4,5.72125304820859,0,1.74418784577274,4.11087386417331,3.95124371858143,1.79175946922806,1.09861228866811,,1/1999,1,0,0,0,0,0,17031020900
17031020900,2,1999,91,78,5,8,0,8824.4,8.53498405552429,0,2.14417348811628,4.51085950651685,4.35670882668959,1.6094379124341,2.07944154167984,0.399985642343539,2/1999,2,0,0,0,0,0,17031020900
17031020900,3,1999,118,96,16,6,0,8824.4,11.0673419621084,0,2.4039986060651,4.77068462446567,4.56434819146784,2.77258872223978,1.79175946922806,0.259825117948815,3/1999,3,0,0,0,0,0,17031020900
17031020900,4,1999,107,83,10,14,0,8824.4,10.0356405927593,0,2.30614281606134,4.67282883446191,4.4188406077966,2.30258509299405,2.63905732961526,-0.0978557900037584,4/1999,4,0,0,0,0,0,17031020900
17031020900,1,2000,79,66,7,6,0,8824.4,7.40949165259801,0,2.00276183406645,4.36944785246702,4.18965474202643,1.94591014905531,1.79175946922806,-0.303380981994885,1/2000,5,0,0,0,0,0,17031020900
17031020900,2,2000,87,68,5,14,0,8824.4,8.15981992121553,0,2.09922210025401,4.46590811865458,4.21950770517611,1.6094379124341,2.63905732961526,0.0964602661875622,2/2000,6,0,0,0,0,0,17031020900
17031020900,3,2000,103,85,7,11,0,8824.4,9.66047645845057,0,2.26804296982907,4.63472898822964,4.44265125649032,1.94591014905531,2.39789527279837,0.168820869575052,3/2000,7,0,0,0,0,0,17031020900
17031020900,4,2000,70,55,7,8,0,8824.4,6.5653723504033,0,1.88180922364879,4.24849524204936,4.00733318523247,1.94591014905531,2.07944154167984,-0.386233746180277,4/2000,8,0,0,0,0,0,17031020900
17031020900,1,2001,50,36,6,8,0,8824.4,4.6895516788595,0,1.54533698702758,3.91202300542815,3.58351893845611,1.79175946922806,2.07944154167984,-0.336472236621213,1/2001,9,0,0,0,0,0,17031020900
17031020900,2,2001,75,52,9,14,0,8824.4,7.03432751828925,0,1.95080209513574,4.31748811353631,3.95124371858143,2.19722457733622,2.63905732961526,0.405465108108164,2/2001,10,0,0,0,0,0,17031020900
17031020900,3,2001,88,72,5,11,0,8824.4,8.25361095479272,0,2.11065079607764,4.47733681447821,4.27666611901606,1.6094379124341,2.39789527279837,0.159848700941896,3/2001,11,0,0,0,0,0,17031020900
17031020900,4,2001,66,52,10,4,0,8824.4,6.19020821609454,0,1.82296872362586,4.18965474202643,3.95124371858143,2.30258509299405,1.38629436111989,-0.287682072451781,4/2001,12,0,0,0,0,0,17031020900
17031020900,1,2002,56,46,6,4,0,8824.4,5.25229788032264,0,1.65866567233458,4.02535169073515,3.8286413964891,1.79175946922806,1.38629436111989,-0.164303051291276,1/2002,13,0,0,0,0,0,17031020900
17031020900,2,2002,64,52,6,6,0,8824.4,6.00262614894016,0,1.7921970649591,4.15888308335967,3.95124371858143,1.79175946922806,1.79175946922806,0.133531392624523,2/2002,14,0,0,0,0,0,17031020900
17031020900,3,2002,92,81,6,5,0,8824.4,8.62877508910148,0,2.15510255864847,4.52178857704904,4.39444915467244,1.79175946922806,1.6094379124341,0.362905493689368,3/2002,15,0,0,0,0,0,17031020900
17031020900,4,2002,79,66,8,5,0,8824.4,7.40949165259801,0,2.00276183406645,4.36944785246702,4.18965474202643,2.07944154167984,1.6094379124341,-0.152340724582019,4/2002,16,0,0,0,0,0,17031020900
17031020900,1,2003,60,52,7,1,0,8824.4,5.6274620146314,0,1.72765854382153,4.0943445622221,3.95124371858143,1.94591014905531,0,-0.275103290244921,1/2003,17,0,0,0,0,0,17031020900
17031020900,2,2003,47,41,1,5,0,8824.4,4.40817857812793,0,1.48346158330949,3.85014760171006,3.71357206670431,0,1.6094379124341,-0.244196960512042,2/2003,18,0,0,0,0,0,17031020900
17031020900,3,2003,75,66,5,4,0,8824.4,7.03432751828925,0,1.95080209513574,4.31748811353631,4.18965474202643,1.6094379124341,1.38629436111989,0.467340511826252,3/2003,19,0,0,0,0,0,17031020900
17031020900,4,2003,66,49,7,10,0,8824.4,6.19020821609454,0,1.82296872362586,4.18965474202643,3.89182029811063,1.94591014905531,2.30258509299405,-0.127833371509885,4/2003,20,0,0,0,0,0,17031020900
17031020900,1,2004,73,67,4,2,0,8824.4,6.84674545113487,0,1.92377342274782,4.29045944114839,4.20469261939097,1.38629436111989,0.693147180559945,0.100804699121966,1/2004,21,0,0,0,0,0,17031020900
17031020900,2,2004,74,58,9,7,0,8824.4,6.94053648471206,0,1.9373790748036,4.30406509320417,4.06044301054642,2.19722457733622,1.94591014905531,0.0136056520557788,2/2004,22,0,0,0,0,0,17031020900
17031020900,3,2004,90,81,5,4,0,8824.4,8.4411930219471,0,2.1331236519297,4.49980967033027,4.39444915467244,1.6094379124341,1.38629436111989,0.195744577126095,3/2004,23,0,0,0,0,0,17031020900
17031020900,4,2004,105,86,5,14,0,8824.4,9.84805852560495,0,2.28727433175695,4.65396035015752,4.45434729625351,1.6094379124341,2.63905732961526,0.154150679827258,4/2004,24,0,0,0,0,0,17031020900
17031020900,1,2005,65,56,3,6,0,8824.4,6.09641718251735,0,1.80770125149507,4.17438726989564,4.02535169073515,1.09861228866811,1.79175946922806,-0.479573080261886,1/2005,25,0,0,0,0,0,17031020900
17031020900,2,2005,68,54,4,10,0,8824.4,6.37779028324892,0,1.85282168677554,4.21950770517611,3.98898404656427,1.38629436111989,2.30258509299405,0.0451204352804695,2/2005,26,0,0,0,0,0,17031020900
17031030100,1,1999,75,58,8,9,0,8824.4,5.57372175980975,0,1.71806301030572,4.31748811353631,4.06044301054642,2.07944154167984,2.19722457733622,,1/1999,1,0,0,0,0,0,17031030100
17031030100,2,1999,94,70,8,16,0,8824.4,6.98573127229489,0,1.94386967903941,4.54329478227,4.24849524204936,2.07944154167984,2.77258872223978,0.225806668733694,2/1999,2,0,0,0,0,0,17031030100
17031030100,3,1999,108,72,13,23,0,8824.4,8.02615933412604,0,2.08270612389363,4.68213122712422,4.27666611901606,2.56494935746154,3.13549421592915,0.138836444854216,3/1999,3,0,0,0,0,0,17031030100
17031030100,4,1999,102,78,6,18,0,8824.4,7.58026159334126,0,2.02554771005368,4.62497281328427,4.35670882668959,1.79175946922806,2.89037175789616,-0.0571584138399484,4/1999,4,0,0,0,0,0,17031030100
17031030100,1,2000,61,45,5,11,0,8824.4,4.5332936979786,0,1.51144876094272,4.11087386417331,3.80666248977032,1.6094379124341,2.39789527279837,-0.51409894911096,1/2000,5,0,0,0,0,0,17031030100
17031030100,2,2000,98,81,4,13,0,8824.4,7.28299643281807,0,1.98554237543998,4.58496747867057,4.39444915467244,1.38629436111989,2.56494935746154,0.474093614497261,2/2000,6,0,0,0,0,0,17031030100
17031030100,3,2000,117,96,13,8,0,8824.4,8.69500594530321,0,2.16274883156716,4.76217393479776,4.56434819146784,2.56494935746154,2.07944154167984,0.177206456127184,3/2000,7,0,0,0,0,0,17031030100
17031030100,4,2000,84,59,7,18,0,8824.4,6.24256837098692,0,1.83139169561272,4.43081679884331,4.07753744390572,1.94591014905531,2.89037175789616,-0.331357135954443,4/2000,8,0,0,0,0,0,17031030100
17031030100,1,2001,91,64,7,20,0,8824.4,6.7627824019025,0,1.91143440328626,4.51085950651685,4.15888308335967,1.94591014905531,2.99573227355399,0.0800427076735364,1/2001,9,0,0,0,0,0,17031030100
17031030100,2,2001,85,64,4,17,0,8824.4,6.31688466111772,0,1.84322615325972,4.44265125649032,4.15888308335967,1.38629436111989,2.83321334405622,-0.0682082500265335,2/2001,10,0,0,0,0,0,17031030100
17031030100,3,2001,111,85,4,22,0,8824.4,8.24910820451843,0,2.11010509808174,4.70953020131233,4.44265125649032,1.38629436111989,3.09104245335832,0.266878944822017,3/2001,11,0,0,0,0,0,17031030100
17031030100,4,2001,85,68,6,11,0,8824.4,6.31688466111772,0,1.84322615325972,4.44265125649032,4.21950770517611,1.79175946922806,2.39789527279837,-0.266878944822017,4/2001,12,0,0,0,0,0,17031030100
17031030100,1,2002,58,46,4,8,0,8824.4,4.31034482758621,0,1.46101790731583,4.06044301054642,3.8286413964891,1.38629436111989,2.07944154167984,-0.382208245943897,1/2002,13,0,0,0,0,0,17031030100
17031030100,2,2002,81,56,8,17,0,8824.4,6.01961950059453,0,1.79502405144185,4.39444915467244,4.02535169073515,2.07944154167984,2.83321334405622,0.33400614412602,2/2002,14,0,0,0,0,0,17031030100
17031030100,3,2002,84,64,12,8,0,8824.4,6.24256837098692,0,1.83139169561272,4.43081679884331,4.15888308335967,2.484906649788,2.07944154167984,0.0363676441708749,3/2002,15,0,0,0,0,0,17031030100
17031030100,4,2002,70,55,8,7,0,8824.4,5.20214030915577,0,1.64907013881877,4.24849524204936,4.00733318523247,2.07944154167984,1.94591014905531,-0.182321556793955,4/2002,16,0,0,0,0,0,17031030100
17031030100,1,2003,72,52,4,16,0,8824.4,5.35077288941736,0,1.67724101578546,4.27666611901606,3.95124371858143,1.38629436111989,2.77258872223978,0.0281708769666964,1/2003,17,0,0,0,0,0,17031030100
17031030100,2,2003,83,68,9,6,0,8824.4,6.16825208085612,0,1.81941550456601,4.4188406077966,4.21950770517611,2.19722457733622,1.79175946922806,0.142174488780543,2/2003,18,0,0,0,0,0,17031030100
17031030100,3,2003,92,62,10,20,0,8824.4,6.83709869203329,0,1.92236347381845,4.52178857704904,4.12713438504509,2.30258509299405,2.99573227355399,0.102947969252442,3/2003,19,0,0,0,0,0,17031030100
