monthofyear,year,tractce10,total,econ_crime,violent_crime,drug_crime
6,2010,550200,9,7,2,2
7,2010,550200,5,5,0,0
8,2010,550200,8,8,0,0
9,2010,550200,9,9,0,0
10,2010,550200,4,4,0,1
11,2010,550200,14,14,0,2
12,2010,550200,10,10,0,2
1,2011,550200,4,4,0,0
2,2011,550200,5,4,1,0
1,1999,540102,17,12,5,3
2,1999,540102,27,20,7,4
3,1999,540102,20,17,3,5
4,1999,540102,26,18,8,5
5,1999,540102,15,12,3,5
6,1999,540102,25,11,14,9
7,1999,540102,37,23,14,9
8,1999,540102,24,15,9,5
9,1999,540102,27,24,3,10
10,1999,540102,21,12,9,10
11,1999,540102,20,17,3,6
12,1999,540102,23,14,9,7
1,2000,540102,25,21,4,13
2,2000,540102,21,16,5,6
3,2000,540102,33,23,10,2
4,2000,540102,34,22,12,8
5,2000,540102,31,25,6,7
6,2000,540102,34,17,17,3
7,2000,540102,32,22,10,8
8,2000,540102,13,9,4,8
9,2000,540102,19,15,4,7
10,2000,540102,32,29,3,10
11,2000,540102,18,14,4,8
12,2000,540102,19,15,4,12
1,2001,540102,10,8,2,13
2,2001,540102,18,13,5,10
3,2001,540102,19,11,8,17
4,2001,540102,21,11,10,9
5,2001,540102,22,13,9,6
6,2001,540102,20,13,7,2
7,2001,540102,27,22,5,7
8,2001,540102,25,14,11,4
9,2001,540102,26,19,7,11
10,2001,540102,13,12,1,9
11,2001,540102,20,11,9,3
12,2001,540102,20,13,7,7
1,2002,540102,15,6,9,6
2,2002,540102,16,11,5,11
3,2002,540102,23,15,8,11
4,2002,540102,22,12,10,11
5,2002,540102,18,7,11,5
6,2002,540102,23,20,3,7
7,2002,540102,23,20,3,3
8,2002,540102,27,20,7,0
9,2002,540102,21,11,10,1
10,2002,540102,33,21,12,2
11,2002,540102,13,9,4,5
12,2002,540102,11,8,3,4
1,2003,540102,21,13,8,5
2,2003,540102,9,7,2,1
3,2003,540102,21,17,4,3
4,2003,540102,14,10,4,6
5,2003,540102,22,16,6,6
6,2003,540102,18,11,7,2
7,2003,540102,41,32,9,1
8,2003,540102,31,23,8,6
9,2003,540102,29,25,4,2
10,2003,540102,17,14,3,3
11,2003,540102,21,14,7,6
12,2003,540102,21,16,5,2
1,2004,540102,12,10,2,3
2,2004,540102,17,14,3,7
3,2004,540102,20,14,6,4
4,2004,540102,18,13,5,4
5,2004,540102,13,8,5,7
6,2004,540102,20,13,7,7
7,2004,540102,23,14,9,2
8,2004,540102,26,20,6,4
9,2004,540102,14,13,1,2
10,2004,540102,21,18,3,3
11,2004,540102,18,16,2,9
12,2004,540102,15,12,3,5
1,2005,540102,17,15,2,7
2,2005,540102,13,11,2,4
